266235,1,203,0,0,8,00,00,00,00,00,00,00,00
266235,1,401,0,0,8,0D,9F,00,00,46,00,00,00
266245,0,300,0,0,8,03,5A,64,5A,32,00,32,34
266245,0,301,0,0,3,03,04,00
266255,1,206,0,0,8,00,00,00,00,00,00,00,00
266255,1,400,0,0,8,01,00,0C,00,00,00,00,00
266295,0,300,0,0,8,03,5A,64,5A,32,00,32,35
266295,0,301,0,0,3,54,05,00
266325,1,201,0,0,5,00,00,00,00,62
266335,1,203,0,0,8,00,00,00,00,00,00,00,00
266335,1,401,0,0,8,0D,9F,00,00,46,00,00,00
266345,0,300,0,0,8,03,5A,64,5A,32,00,32,36
266345,0,301,0,0,3,F5,06,00
266355,1,206,0,0,8,00,00,00,00,00,00,00,00
266355,1,400,0,0,8,01,00,0C,00,00,00,00,00
266395,0,300,0,0,8,03,5A,64,5A,32,00,32,37
266395,0,301,0,0,3,B8,07,00
266425,1,201,0,0,5,00,00,00,00,62
266435,1,203,0,0,8,00,00,00,00,00,00,00,00
266445,1,401,0,0,8,0D,9F,00,00,46,00,00,00
266445,0,300,0,0,8,03,5A,64,5A,32,00,32,F8
266445,0,301,0,0,3,80,08,00
266455,1,206,0,0,8,00,00,00,00,00,00,00,00
266465,1,400,0,0,8,01,00,0C,00,00,00,00,00
266495,0,300,0,0,8,03,5A,64,5A,32,00,32,F9
266495,0,301,0,0,3,88,09,00
266525,1,201,0,0,5,00,00,00,00,62
266525,1,403,0,0,8,64,00,00,00,40,E3,09,00
266535,1,203,0,0,8,00,00,00,00,00,00,00,00
266545,1,401,0,0,8,0D,9F,00,00,46,00,00,00
266545,0,300,0,0,8,03,5A,64,5A,32,00,32,FA
266545,0,301,0,0,3,C6,0A,00
266545,1,204,0,0,8,00,00,00,00,00,00,00,00
266555,1,206,0,0,8,00,00,00,00,00,00,00,00
266555,1,202,0,0,8,E2,13,00,00,D6,7C,05,00
266565,1,400,0,0,8,01,00,0C,00,00,00,00,00
266565,1,666,0,0,8,52,08,05,00,52,95,36,02
266585,1,665,0,0,8,00,00,00,53,4C,18,53,00
266595,0,300,0,0,8,03,5A,64,5A,32,00,32,FB
266595,0,301,0,0,3,43,0B,00
266595,1,200,0,0,8,58,00,2C,A4,08,00,01,00
266625,1,201,0,0,5,00,00,00,00,62
266635,1,203,0,0,8,00,00,00,00,00,00,00,00
266645,1,401,0,0,8,0D,9F,00,00,46,00,00,00
266645,0,300,0,0,8,03,5A,64,5A,32,00,32,BC
266645,0,301,0,0,3,B5,0C,00
266655,1,206,0,0,8,00,00,00,00,00,00,00,00
266665,1,400,0,0,8,01,00,0C,00,00,00,00,00
266695,0,300,0,0,8,03,5A,64,5A,32,00,32,BD
266695,0,301,0,0,3,4E,0D,00
266725,1,201,0,0,5,00,00,00,00,62
266735,1,203,0,0,8,00,00,00,00,00,00,00,00
266745,1,401,0,0,8,0D,9F,00,00,46,00,00,00
266745,0,300,0,0,8,03,5A,64,5A,32,00,32,BE
266745,0,301,0,0,3,1D,0E,00
266755,1,206,0,0,8,00,00,00,00,00,00,00,00
266765,1,400,0,0,8,01,00,0C,00,00,00,00,00
266795,0,300,0,0,8,03,5A,64,5A,32,00,32,BF
266795,0,301,0,0,3,E8,0F,00
266825,1,201,0,0,5,00,00,00,00,62
266835,1,203,0,0,8,00,00,00,00,00,00,00,00
266845,1,401,0,0,8,0F,9F,00,00,46,00,00,00
266845,0,300,0,0,8,03,5A,64,5A,32,00,32,70
266845,0,301,0,0,3,E2,00,00
266855,1,206,0,0,8,00,00,00,00,00,00,00,00
266865,1,400,0,0,8,01,00,0C,00,00,00,00,00
266895,0,300,0,0,8,03,5A,64,5A,32,00,32,71
266895,0,301,0,0,3,B3,01,00
266925,1,201,0,0,5,00,00,00,00,62
266935,1,203,0,0,8,00,00,00,00,00,00,00,00
266945,0,300,0,0,8,03,5A,64,5A,32,00,32,72
266945,1,401,0,0,8,0F,9F,00,00,45,00,00,00
266945,0,301,0,0,3,6B,02,00
266955,1,206,0,0,8,00,00,00,00,00,00,00,00
266965,1,400,0,0,8,01,00,0C,00,00,00,00,00
266995,0,300,0,0,8,03,5A,64,5A,32,00,32,73
266995,0,301,0,0,3,96,03,00
267025,1,201,0,0,5,00,00,00,00,62
267025,1,402,0,0,8,58,00,00,00,2C,A4,08,00
267035,1,203,0,0,8,00,00,00,00,00,00,00,00
267045,0,300,0,0,8,03,5A,64,5A,32,00,32,34
267045,0,301,0,0,3,03,04,00
267045,1,401,0,0,8,0F,9F,00,00,45,00,00,00
267055,1,206,0,0,8,00,00,00,00,00,00,00,00
267065,1,400,0,0,8,01,00,0C,00,00,00,00,00
267095,0,300,0,0,8,03,5A,64,5A,32,00,32,35
267095,0,301,0,0,3,54,05,00
267125,1,201,0,0,5,00,00,00,00,62
267135,1,203,0,0,8,00,00,00,00,00,00,00,00
267145,0,300,0,0,8,03,5A,64,5A,32,00,32,36
267145,0,301,0,0,3,F5,06,00
267145,1,401,0,0,8,0F,9F,00,00,45,00,00,00
267155,1,206,0,0,8,00,00,00,00,00,00,00,00
267165,1,400,0,0,8,01,00,0C,00,00,00,00,00
267195,0,300,0,0,8,03,5A,64,5A,32,00,32,37
267195,0,301,0,0,3,B8,07,00
267225,1,201,0,0,5,00,00,00,00,62
267235,1,203,0,0,8,00,00,00,00,00,00,00,00
267245,0,300,0,0,8,03,5A,64,5A,32,00,32,F8
267245,0,301,0,0,3,80,08,00
267245,1,401,0,0,8,0F,9F,00,00,45,00,00,00
267255,1,206,0,0,8,00,00,00,00,00,00,00,00
267265,1,400,0,0,8,01,00,0C,00,00,00,00,00
267295,0,300,0,0,8,03,5A,64,5A,32,00,32,F9
267295,0,301,0,0,3,88,09,00
267325,1,201,0,0,5,00,00,00,00,62
267335,1,203,0,0,8,00,00,00,00,00,00,00,00
267345,0,300,0,0,8,03,5A,64,5A,32,00,32,FA
267345,0,301,0,0,3,C6,0A,00
267345,1,401,0,0,8,0D,9F,00,00,45,00,00,00
267355,1,206,0,0,8,00,00,00,00,00,00,00,00
267365,1,400,0,0,8,01,00,0C,00,00,00,00,00
267395,0,300,0,0,8,03,5A,64,5A,32,00,32,FB
267395,0,301,0,0,3,43,0B,00
267425,1,201,0,0,5,00,00,00,00,62
267435,1,203,0,0,8,00,00,00,00,00,00,00,00
267445,0,300,0,0,8,03,5A,64,5A,32,00,32,BC
267445,0,301,0,0,3,B5,0C,00
267445,1,401,0,0,8,0D,9F,00,00,46,00,00,00
267455,1,206,0,0,8,00,00,00,00,00,00,00,00
267465,1,400,0,0,8,01,00,0C,00,00,00,00,00
267495,0,300,0,0,8,03,5A,64,5A,32,00,32,BD
267495,0,301,0,0,3,4E,0D,00
267525,1,201,0,0,5,00,00,00,00,62
267525,1,403,0,0,8,64,00,00,00,40,E3,09,00
267535,1,203,0,0,8,00,00,00,00,00,00,00,00
267545,0,300,0,0,8,03,5A,64,5A,32,00,32,BE
267545,0,301,0,0,3,1D,0E,00
267545,1,401,0,0,8,0F,9F,00,00,46,00,00,00
267545,1,204,0,0,8,00,00,00,00,00,00,00,00
267555,1,206,0,0,8,00,00,00,00,00,00,00,00
267555,1,202,0,0,8,E2,12,00,00,D6,7C,05,00
267565,1,400,0,0,8,01,00,0C,00,00,00,00,00
267595,0,300,0,0,8,03,5A,64,5A,32,00,32,BF
267595,0,301,0,0,3,E8,0F,00
267625,1,201,0,0,5,00,00,00,00,62
267635,1,203,0,0,8,00,00,00,00,00,00,00,00
267645,0,300,0,0,8,03,5A,64,5A,32,00,32,70
267645,0,301,0,0,3,E2,00,00
267645,1,401,0,0,8,0F,9F,00,00,46,00,00,00
267655,1,206,0,0,8,00,00,00,00,00,00,00,00
267665,1,400,0,0,8,01,00,0C,00,00,00,00,00
267695,0,300,0,0,8,03,5A,64,5A,32,00,32,71
267695,0,301,0,0,3,B3,01,00
267725,1,201,0,0,5,00,00,00,00,62
267735,1,203,0,0,8,00,00,00,00,00,00,00,00
267745,0,300,0,0,8,03,5A,64,5A,32,00,32,72
267745,0,301,0,0,3,6B,02,00
267745,1,401,0,0,8,0F,9F,00,00,46,00,00,00
267755,1,206,0,0,8,00,00,00,00,00,00,00,00
267765,1,400,0,0,8,01,00,0C,00,00,00,00,00
267795,0,300,0,0,8,03,5A,64,5A,32,00,32,73
267795,0,301,0,0,3,96,03,00
267825,1,201,0,0,5,00,00,00,00,62
267835,1,203,0,0,8,00,00,00,00,00,00,00,00
267845,0,300,0,0,8,03,5A,64,5A,32,00,32,34
267845,0,301,0,0,3,03,04,00
267845,1,401,0,0,8,0F,9F,00,00,46,00,00,00
267855,1,206,0,0,8,00,00,00,00,00,00,00,00
267865,1,400,0,0,8,01,00,0C,00,00,00,00,00
267895,0,300,0,0,8,03,5A,64,5A,32,00,32,35
267895,0,301,0,0,3,54,05,00
267925,1,201,0,0,5,00,00,00,00,62
267935,1,203,0,0,8,00,00,00,00,00,00,00,00
267945,0,300,0,0,8,03,5A,64,5A,32,00,32,36
267945,0,301,0,0,3,F5,06,00
267945,1,401,0,0,8,0F,9F,00,00,45,00,00,00
267955,1,206,0,0,8,00,00,00,00,00,00,00,00
267965,1,400,0,0,8,01,00,0C,00,00,00,00,00
