338165,0,300,0,0,8,03,5A,64,5A,32,00,32,72
338165,0,301,0,0,3,6B,02,00
338165,1,203,0,0,8,00,00,00,00,00,00,00,00
338185,1,402,0,0,8,58,00,00,00,CC,A0,08,00
338185,1,206,0,0,8,00,00,00,00,00,00,00,00
338205,1,401,0,0,8,DA,9E,00,00,46,00,00,00
338215,0,300,0,0,8,03,5A,64,5A,32,00,32,73
338215,0,301,0,0,3,96,03,00
338225,1,400,0,0,8,01,00,0C,00,00,00,00,00
338245,1,201,0,0,5,00,00,00,00,62
338265,1,203,0,0,8,00,00,00,00,00,00,00,00
338265,0,300,0,0,8,03,5A,64,5A,32,00,32,34
338265,0,301,0,0,3,03,04,00
338285,1,206,0,0,8,00,00,00,00,00,00,00,00
338305,1,401,0,0,8,DA,9E,00,00,46,00,00,00
338315,0,300,0,0,8,03,5A,64,5A,32,00,32,35
338315,0,301,0,0,3,54,05,00
338325,1,400,0,0,8,01,00,0C,00,00,00,00,00
338345,1,201,0,0,5,00,00,00,00,62
338365,0,300,0,0,8,03,5A,64,5A,32,00,32,36
338365,0,301,0,0,3,F5,06,00
338365,1,203,0,0,8,00,00,00,00,00,00,00,00
338385,1,206,0,0,8,00,00,00,00,00,00,00,00
338405,1,401,0,0,8,DA,9E,00,00,46,00,00,00
338415,0,300,0,0,8,03,5A,64,5A,32,00,32,37
338415,0,301,0,0,3,B8,07,00
338425,1,400,0,0,8,01,00,0C,00,00,00,00,00
338445,1,201,0,0,5,00,00,00,00,62
338465,0,300,0,0,8,03,5A,64,5A,32,00,32,F8
338465,0,301,0,0,3,80,08,00
338465,1,203,0,0,8,00,00,00,00,00,00,00,00
338485,1,206,0,0,8,00,00,00,00,00,00,00,00
338505,1,401,0,0,8,DC,9E,00,00,45,00,00,00
338515,0,300,0,0,8,03,5A,64,5A,32,00,32,F9
338515,0,301,0,0,3,88,09,00
338525,1,400,0,0,8,01,00,0C,00,00,00,00,00
338545,1,201,0,0,5,00,00,00,00,62
338565,0,300,0,0,8,03,5A,64,5A,32,00,32,FA
338565,0,301,0,0,3,C6,0A,00
338565,1,203,0,0,8,00,00,00,00,00,00,00,00
338575,1,204,0,0,8,00,00,00,00,00,00,00,00
338585,1,206,0,0,8,00,00,00,00,00,00,00,00
338585,1,202,0,0,8,E2,13,00,00,42,7D,05,00
338595,1,666,0,0,8,52,08,05,00,52,95,36,02
338605,1,401,0,0,8,DC,9E,00,00,45,00,00,00
338605,1,665,0,0,8,00,00,00,53,4C,18,53,00
338615,0,300,0,0,8,03,5A,64,5A,32,00,32,FB
338615,0,301,0,0,3,43,0B,00
338625,1,200,0,0,8,58,00,8C,A1,08,00,01,00
338625,1,400,0,0,8,01,00,0C,00,00,00,00,00
338645,1,201,0,0,5,00,00,00,00,62
338665,1,203,0,0,8,00,00,00,00,00,00,00,00
338665,0,300,0,0,8,03,5A,64,5A,32,00,32,BC
338665,0,301,0,0,3,B5,0C,00
338685,1,403,0,0,8,64,00,00,00,40,E3,09,00
338685,1,206,0,0,8,00,00,00,00,00,00,00,00
338705,1,401,0,0,8,DC,9E,00,00,46,00,00,00
338715,0,300,0,0,8,03,5A,64,5A,32,00,32,BD
338715,0,301,0,0,3,4E,0D,00
338725,1,400,0,0,8,01,00,0C,00,00,00,00,00
338745,1,201,0,0,5,00,00,00,00,62
338765,1,203,0,0,8,00,00,00,00,00,00,00,00
338765,0,300,0,0,8,03,5A,64,5A,32,00,32,BE
338765,0,301,0,0,3,1D,0E,00
338785,1,206,0,0,8,00,00,00,00,00,00,00,00
338805,1,401,0,0,8,DC,9E,00,00,46,00,00,00
338815,0,300,0,0,8,03,5A,64,5A,32,00,32,BF
338815,0,301,0,0,3,E8,0F,00
338825,1,400,0,0,8,01,00,0C,00,00,00,00,00
338845,1,201,0,0,5,00,00,00,00,62
338865,1,203,0,0,8,00,00,00,00,00,00,00,00
338865,0,300,0,0,8,03,5A,64,5A,32,00,32,70
338865,0,301,0,0,3,E2,00,00
338885,1,206,0,0,8,00,00,00,00,00,00,00,00
338905,1,401,0,0,8,DC,9E,00,00,46,00,00,00
338915,0,300,0,0,8,03,5A,64,5A,32,00,32,71
338915,0,301,0,0,3,B3,01,00
338925,1,400,0,0,8,01,00,0C,00,00,00,00,00
338945,1,201,0,0,5,00,00,00,00,62
338965,1,203,0,0,8,00,00,00,00,00,00,00,00
338965,0,300,0,0,8,03,5A,64,5A,32,00,32,72
338965,0,301,0,0,3,6B,02,00
338985,1,206,0,0,8,00,00,00,00,00,00,00,00
339005,1,401,0,0,8,DE,9E,00,00,46,00,00,00
339015,0,300,0,0,8,03,5A,64,5A,32,00,32,73
339015,0,301,0,0,3,96,03,00
339025,1,400,0,0,8,01,00,0C,00,00,00,00,00
339045,1,201,0,0,5,00,00,00,00,62
339065,1,203,0,0,8,00,00,00,00,00,00,00,00
339065,0,300,0,0,8,03,5A,64,5A,32,00,32,34
339065,0,301,0,0,3,03,04,00
339085,1,206,0,0,8,00,00,00,00,00,00,00,00
339105,1,401,0,0,8,DE,9E,00,00,46,00,00,00
339115,0,300,0,0,8,03,5A,64,5A,32,00,32,35
339115,0,301,0,0,3,54,05,00
339125,1,400,0,0,8,01,00,0C,00,00,00,00,00
339145,1,201,0,0,5,00,00,00,00,62
339165,1,203,0,0,8,00,00,00,00,00,00,00,00
339165,0,300,0,0,8,03,5A,64,5A,32,00,32,36
339165,0,301,0,0,3,F5,06,00
339185,1,206,0,0,8,00,00,00,00,00,00,00,00
339185,1,402,0,0,8,58,00,00,00,CC,A0,08,00
339205,1,401,0,0,8,DE,9E,00,00,45,00,00,00
339215,0,300,0,0,8,03,5A,64,5A,32,00,32,37
339215,0,301,0,0,3,B8,07,00
339225,1,400,0,0,8,01,00,0C,00,00,00,00,00
339245,1,201,0,0,5,00,00,00,00,62
339265,1,203,0,0,8,00,00,00,00,00,00,00,00
339265,0,300,0,0,8,03,5A,64,5A,32,00,32,F8
339265,0,301,0,0,3,80,08,00
339285,1,206,0,0,8,00,00,00,00,00,00,00,00
339305,1,401,0,0,8,DE,9E,00,00,45,00,00,00
339315,0,300,0,0,8,03,5A,64,5A,32,00,32,F9
339315,0,301,0,0,3,88,09,00
339325,1,400,0,0,8,01,00,0C,00,00,00,00,00
339345,1,201,0,0,5,00,00,00,00,62
339365,1,203,0,0,8,00,00,00,00,00,00,00,00
339365,0,300,0,0,8,03,5A,64,5A,32,00,32,FA
339365,0,301,0,0,3,C6,0A,00
339385,1,206,0,0,8,00,00,00,00,00,00,00,00
339405,1,401,0,0,8,DE,9E,00,00,45,00,00,00
339415,0,300,0,0,8,03,5A,64,5A,32,00,32,FB
339415,0,301,0,0,3,43,0B,00
339425,1,400,0,0,8,01,00,0C,00,00,00,00,00
339445,1,201,0,0,5,00,00,00,00,62
339465,1,203,0,0,8,00,00,00,00,00,00,00,00
339465,0,300,0,0,8,03,5A,64,5A,32,00,32,BC
339465,0,301,0,0,3,B5,0C,00
339485,1,206,0,0,8,00,00,00,00,00,00,00,00
339505,1,401,0,0,8,DE,9E,00,00,46,00,00,00
339515,0,300,0,0,8,03,5A,64,5A,32,00,32,BD
339515,0,301,0,0,3,4E,0D,00
339525,1,400,0,0,8,01,00,0C,00,00,00,00,00
339545,1,201,0,0,5,00,00,00,00,62
339565,0,300,0,0,8,03,5A,64,5A,32,00,32,BE
339565,1,203,0,0,8,00,00,00,00,00,00,00,00
339565,0,301,0,0,3,1D,0E,00
339575,1,204,0,0,8,00,00,00,00,00,00,00,00
339585,1,206,0,0,8,00,00,00,00,00,00,00,00
339585,1,202,0,0,8,E2,13,00,00,42,7D,05,00
339605,1,401,0,0,8,DE,9E,00,00,46,00,00,00
339615,0,300,0,0,8,03,5A,64,5A,32,00,32,BF
339615,0,301,0,0,3,E8,0F,00
339625,1,400,0,0,8,01,00,0C,00,00,00,00,00
339645,1,201,0,0,5,00,00,00,00,62
339665,0,300,0,0,8,03,5A,64,5A,32,00,32,70
339665,1,203,0,0,8,00,00,00,00,00,00,00,00
339665,0,301,0,0,3,E2,00,00
339685,1,206,0,0,8,00,00,00,00,00,00,00,00
339685,1,403,0,0,8,64,00,00,00,40,E3,09,00
339705,1,401,0,0,8,DE,9E,00,00,46,00,00,00
339715,0,300,0,0,8,03,5A,64,5A,32,00,32,71
339715,0,301,0,0,3,B3,01,00
339725,1,400,0,0,8,01,00,0C,00,00,00,00,00
339745,1,201,0,0,5,00,00,00,00,62
339765,0,300,0,0,8,03,5A,64,5A,32,00,32,72
339765,1,203,0,0,8,00,00,00,00,00,00,00,00
339765,0,301,0,0,3,6B,02,00
339785,1,206,0,0,8,00,00,00,00,00,00,00,00
339805,1,401,0,0,8,DE,9E,00,00,46,00,00,00
339815,0,300,0,0,8,03,5A,64,5A,32,00,32,73
339815,0,301,0,0,3,96,03,00
339825,1,400,0,0,8,01,00,0C,00,00,00,00,00
339845,1,201,0,0,5,00,00,00,00,62
339865,0,300,0,0,8,03,5A,64,5A,32,00,32,34
339865,1,203,0,0,8,00,00,00,00,00,00,00,00
339865,0,301,0,0,3,03,04,00
339885,1,206,0,0,8,00,00,00,00,00,00,00,00
339905,1,401,0,0,8,DE,9E,00,00,46,00,00,00
339915,0,300,0,0,8,03,5A,64,5A,32,00,32,35
339915,0,301,0,0,3,54,05,00
339925,1,400,0,0,8,01,00,0C,00,00,00,00,00
339945,1,201,0,0,5,00,00,00,00,62
339965,0,300,0,0,8,03,5A,64,5A,32,00,32,36
339965,1,203,0,0,8,00,00,00,00,00,00,00,00
339965,0,301,0,0,3,F5,06,00
339985,1,206,0,0,8,00,00,00,00,00,00,00,00
340005,1,401,0,0,8,DE,9E,00,00,45,00,00,00
340015,0,300,0,0,8,03,5A,64,5A,32,00,32,37
340015,0,301,0,0,3,B8,07,00
340025,1,400,0,0,8,01,00,0C,00,00,00,00,00
340045,1,201,0,0,5,00,00,00,00,62
340065,0,300,0,0,8,03,5A,64,5A,32,00,32,F8
340065,1,203,0,0,8,00,00,00,00,00,00,00,00
340065,0,301,0,0,3,80,08,00
340085,1,206,0,0,8,00,00,00,00,00,00,00,00
340105,1,401,0,0,8,DE,9E,00,00,45,00,00,00
340115,0,300,0,0,8,03,5A,64,5A,32,00,32,F9
340115,0,301,0,0,3,88,09,00
340125,1,400,0,0,8,01,00,0C,00,00,00,00,00
340145,1,201,0,0,5,00,00,00,00,62
340165,0,300,0,0,8,03,5A,64,5A,32,00,32,FA
340165,1,203,0,0,8,00,00,00,00,00,00,00,00
340165,0,301,0,0,3,C6,0A,00
340185,1,206,0,0,8,00,00,00,00,00,00,00,00
340185,1,402,0,0,8,58,00,00,00,CC,A0,08,00
340205,1,401,0,0,8,DE,9E,00,00,45,00,00,00
340215,0,300,0,0,8,03,5A,64,5A,32,00,32,FB
340215,0,301,0,0,3,43,0B,00
340225,1,400,0,0,8,01,00,0C,00,00,00,00,00
340245,1,201,0,0,5,00,00,00,00,62
340265,1,203,0,0,8,00,00,00,00,00,00,00,00
340265,0,300,0,0,8,03,5A,64,5A,32,00,32,BC
340265,0,301,0,0,3,B5,0C,00
340285,1,206,0,0,8,00,00,00,00,00,00,00,00
340305,1,401,0,0,8,DE,9E,00,00,45,00,00,00
340315,0,300,0,0,8,03,5A,64,5A,32,00,32,BD
340315,0,301,0,0,3,4E,0D,00
340325,1,400,0,0,8,01,00,0C,00,00,00,00,00
340345,1,201,0,0,5,00,00,00,00,62
340365,0,300,0,0,8,03,5A,64,5A,32,00,32,BE
340365,0,301,0,0,3,1D,0E,00
340365,1,203,0,0,8,00,00,00,00,00,00,00,00
340385,1,206,0,0,8,00,00,00,00,00,00,00,00
340405,1,401,0,0,8,DE,9E,00,00,45,00,00,00
340415,0,300,0,0,8,03,5A,64,5A,32,00,32,BF
340415,0,301,0,0,3,E8,0F,00
340425,1,400,0,0,8,01,00,0C,00,00,00,00,00
340445,1,201,0,0,5,00,00,00,00,62
340465,0,300,0,0,8,03,5A,64,5A,32,00,32,70
