15:30:44.306,1,201,0,0,5,0,0,0,0,62,,,
15:30:44.368,1,403,0,0,8,64,0,0,0,40,e3,9,0
15:30:44.433,1,206,0,0,8,0,0,0,0,0,0,0,0
15:30:44.495,1,301,0,0,3,c6,a,0,,,,,
15:30:44.558,1,404,0,0,2,26,0,,,,,,
15:30:44.621,1,206,0,0,8,0,0,0,0,0,0,0,0
15:30:44.685,1,300,0,0,8,3,5a,64,5a,a,0,a,9e
15:30:44.748,1,404,0,0,2,2,0,,,,,,
15:30:44.813,1,203,0,0,8,0,0,0,0,0,0,0,0
15:30:44.876,1,402,0,0,8,5f,0,0,0,6c,63,9,0
15:30:44.939,1,206,0,0,8,0,0,0,0,0,0,0,0
15:30:45.003,1,201,0,0,5,0,0,0,0,62,,,
15:30:45.066,1,300,0,0,8,3,5a,64,5a,a,0,a,16
15:30:45.130,1,206,0,0,8,0,0,0,0,0,0,0,0
15:30:45.194,1,300,0,0,8,3,5a,64,5a,a,0,a,f8
15:30:45.256,1,300,0,0,8,3,5a,64,5a,a,0,a,da
15:30:45.320,1,400,0,0,8,1,0,c,0,0,0,0,0
15:30:45.384,1,300,0,0,8,3,5a,64,5a,a,0,a,bc
15:30:45.448,1,300,0,0,8,3,5a,64,5a,a,0,a,9e
15:30:45.510,1,203,0,0,8,0,0,0,0,0,0,0,0
15:30:45.574,1,300,0,0,8,3,5a,64,5a,a,0,a,70
15:30:45.636,1,206,0,0,8,0,0,0,0,0,0,0,0
15:30:45.699,1,401,0,0,8,82,a0,0,0,44,0,0,0
15:30:45.765,1,665,0,0,8,0,0,0,53,4c,18,53,0
15:30:45.827,1,206,0,0,8,0,0,0,0,0,0,0,0
15:30:45.889,1,300,0,0,8,3,5a,64,5a,a,0,a,16
15:30:45.952,1,300,0,0,8,3,5a,64,5a,a,0,a,f8
15:30:46.016,1,203,0,0,8,0,0,0,0,0,0,0,0
15:30:46.078,1,300,0,0,8,3,5a,64,5a,a,0,a,da
15:30:46.141,1,206,0,0,8,0,0,0,0,0,0,0,0
15:30:46.204,1,201,0,0,5,0,0,0,0,62,,,
15:30:46.268,1,300,0,0,8,3,5a,64,5a,a,0,a,9e
15:30:46.333,1,206,0,0,8,0,0,0,0,0,0,0,0
15:30:46.394,1,301,0,0,3,e2,0,0,,,,,
15:30:46.457,1,300,0,0,8,3,5a,64,5a,a,0,a,52
15:30:46.520,1,400,0,0,8,1,0,c,0,0,0,0,0
15:30:46.583,1,300,0,0,8,3,5a,64,5a,a,0,a,34
15:30:46.647,1,300,0,0,8,3,5a,64,5a,a,0,a,16
15:30:46.709,1,203,0,0,8,0,0,0,0,0,0,0,0
15:30:46.776,1,300,0,0,8,3,5a,64,5a,a,0,a,f8
15:30:46.835,1,206,0,0,8,0,0,0,0,0,0,0,0
15:30:46.899,1,401,0,0,8,86,a0,0,0,45,0,0,0
15:30:46.962,1,300,0,0,8,3,5a,64,5a,a,0,a,bc
15:30:47.026,1,400,0,0,8,1,0,c,0,0,0,0,0
15:30:47.089,1,300,0,0,8,3,5a,64,5a,a,0,a,9e
15:30:47.155,1,300,0,0,8,3,5a,64,5a,a,0,a,70
15:30:47.216,1,203,0,0,8,89,0,28,c2,8,0,0,0
15:30:47.280,1,300,0,0,8,3,5a,64,5a,a,0,a,52
15:30:47.343,1,206,0,0,8,0,0,0,0,0,0,0,0
15:30:47.406,1,201,0,0,5,0,0,c6,11,62,,,
15:30:47.469,1,300,0,0,8,3,5a,64,5a,a,0,a,16
15:30:47.531,1,206,0,0,8,0,0,0,0,0,0,0,0
15:30:47.594,1,301,0,0,3,80,8,0,,,,,
15:30:47.657,1,300,0,0,8,3,5a,64,5a,a,0,a,da
15:30:47.722,1,400,0,0,8,1,0,2c,0,0,0,0,0
15:30:47.785,1,300,0,0,8,3,5a,64,5a,a,0,a,bc
15:30:47.847,1,402,0,0,8,5f,0,0,0,6c,63,9,0
15:30:47.911,1,203,0,0,8,63,2,60,48,7,0,0,0
15:30:47.975,1,300,0,0,8,3,5a,64,5a,a,0,a,70
15:30:48.043,1,206,0,0,8,0,0,0,0,0,0,0,0
15:30:48.103,1,201,0,0,5,0,0,0,5,62,,,
15:30:48.167,1,300,0,0,8,3,5a,64,5a,a,0,a,34
15:30:48.229,1,400,0,0,8,1,0,2c,0,0,0,0,0
15:30:48.292,1,300,0,0,8,3,5a,64,5a,a,0,a,16
