177294,1,401,0,0,8,3B,9C,00,00,46,00,00,00
177304,0,300,0,0,8,03,5A,64,5A,32,00,32,F8
177304,0,301,0,0,3,80,08,00
177314,1,400,0,0,8,01,00,0C,00,00,00,00,00
177314,1,201,0,0,5,00,00,00,00,62
177334,1,203,0,0,8,00,00,00,00,00,00,00,00
177354,1,206,0,0,8,00,00,00,00,00,00,00,00
177354,0,300,0,0,8,03,5A,64,5A,32,00,32,F9
177354,0,301,0,0,3,88,09,00
177394,1,401,0,0,8,3D,9C,00,00,47,00,00,00
177404,0,300,0,0,8,03,5A,64,5A,32,00,32,FA
177404,0,301,0,0,3,C6,0A,00
177414,1,400,0,0,8,01,00,0C,00,00,00,00,00
177414,1,201,0,0,5,00,00,00,00,62
177434,1,203,0,0,8,00,00,00,00,00,00,00,00
177454,1,206,0,0,8,00,00,00,00,00,00,00,00
177454,0,300,0,0,8,03,5A,64,5A,32,00,32,FB
177454,0,301,0,0,3,43,0B,00
177494,1,401,0,0,8,3D,9C,00,00,47,00,00,00
177504,0,300,0,0,8,03,5A,64,5A,32,00,32,BC
177504,0,301,0,0,3,B5,0C,00
177514,1,400,0,0,8,01,00,0C,00,00,00,00,00
177514,1,201,0,0,5,00,00,00,00,62
177534,1,203,0,0,8,00,00,00,00,00,00,00,00
177554,1,206,0,0,8,00,00,00,00,00,00,00,00
177554,0,300,0,0,8,03,5A,64,5A,32,00,32,BD
177554,0,301,0,0,3,4E,0D,00
177574,1,403,0,0,8,64,00,00,00,40,E3,09,00
177594,1,401,0,0,8,3B,9C,00,00,46,00,00,00
177604,0,300,0,0,8,03,5A,64,5A,32,00,32,BE
177604,0,301,0,0,3,1D,0E,00
177614,1,400,0,0,8,01,00,0C,00,00,00,00,00
177614,1,201,0,0,5,00,00,00,00,62
177634,1,203,0,0,8,00,00,00,00,00,00,00,00
177644,1,204,0,0,8,00,00,00,00,00,00,00,00
177654,1,206,0,0,8,00,00,00,00,00,00,00,00
177654,1,202,0,0,8,E2,1D,00,00,33,99,05,00
177654,0,300,0,0,8,03,5A,64,5A,32,00,32,BF
177654,0,301,0,0,3,E8,0F,00
177694,1,401,0,0,8,3B,9C,00,00,46,00,00,00
177704,0,300,0,0,8,03,5A,64,5A,32,00,32,70
177704,0,301,0,0,3,E2,00,00
177714,1,400,0,0,8,01,00,0C,00,00,00,00,00
177714,1,201,0,0,5,00,00,00,00,62
177734,1,203,0,0,8,00,00,00,00,00,00,00,00
177754,1,206,0,0,8,00,00,00,00,00,00,00,00
177754,0,300,0,0,8,03,5A,64,5A,32,00,32,71
177754,0,301,0,0,3,B3,01,00
177794,1,401,0,0,8,3B,9C,00,00,46,00,00,00
177804,0,300,0,0,8,03,5A,64,5A,32,00,32,72
177804,0,301,0,0,3,6B,02,00
177814,1,400,0,0,8,01,00,0C,00,00,00,00,00
177814,1,201,0,0,5,00,00,00,00,62
177834,1,203,0,0,8,00,00,00,00,00,00,00,00
177854,1,206,0,0,8,00,00,00,00,00,00,00,00
177854,0,300,0,0,8,03,5A,64,5A,32,00,32,73
177854,0,301,0,0,3,96,03,00
177894,1,401,0,0,8,40,9C,00,00,47,00,00,00
177904,0,300,0,0,8,03,5A,64,5A,32,00,32,34
177904,0,301,0,0,3,03,04,00
177914,1,400,0,0,8,01,00,0C,00,00,00,00,00
177914,1,201,0,0,5,00,00,00,00,62
177934,1,203,0,0,8,00,00,00,00,00,00,00,00
177954,1,206,0,0,8,00,00,00,00,00,00,00,00
177954,0,300,0,0,8,03,5A,64,5A,32,00,32,35
177954,0,301,0,0,3,54,05,00
177994,1,401,0,0,8,40,9C,00,00,47,00,00,00
