timestamp,device index,device type,manufacturer,serial number,product,hardware version,battery status,descriptor,source type,product name,autopauseAfter,firmware,deviceId,autopauseEnabled,horizontalDiscard,smoothingFilter,verticalDiscard,horizontalSmoothingBypass,charge,verticalSmoothingBypass,lowSpeedFilter,maxDistance,bike serial number,battery1 serial number
1096199789,0,,63,479933463,63002,34,,Specialized App,5,Specialized App on Nothing A063,3,RRA-4.9.0,479933463,1,199,1,19,10,,2,0.4000000059604645,55,,
1096199790,1,20,63,,,,2,,3,ReadieFurLevo,,59669,F4:9C:5B:74:E6:FB,,,,,,100,,,,WSBC001130512T,236G5LA1004RM00000000000000000
1096199795,1,20,63,,,,2,,3,ReadieFurLevo,,59669,F4:9C:5B:74:E6:FB,,,,,,100,,,,WSBC001130512T,236G5LA1004RM00000000000000000
1096199796,1,20,63,,,,2,,3,ReadieFurLevo,,59669,F4:9C:5B:74:E6:FB,,,,,,100,,,,WSBC001130512T,236G5LA1004RM00000000000000000
1096199797,1,20,63,,,,2,,3,ReadieFurLevo,,59669,F4:9C:5B:74:E6:FB,,,,,,100,,,,WSBC001130512T,236G5LA1004RM00000000000000000
1096199798,1,20,63,,,,2,,3,ReadieFurLevo,,59669,F4:9C:5B:74:E6:FB,,,,,,100,,,,WSBC001130512T,236G5LA1004RM00000000000000000
1096199799,1,20,63,,,,2,,3,ReadieFurLevo,,59669,F4:9C:5B:74:E6:FB,,,,,,100,,,,WSBC001130512T,236G5LA1004RM00000000000000000
1096199888,1,20,63,,,,2,,3,ReadieFurLevo,,59669,F4:9C:5B:74:E6:FB,,,,,,100,,,,WSBC001130512T,236G5LA1004RM00000000000000000
1096199889,1,20,63,,,,2,,3,ReadieFurLevo,,59669,F4:9C:5B:74:E6:FB,,,,,,100,,,,WSBC001130512T,236G5LA1004RM00000000000000000
