0.033713,,300,,,8,03,5A,64,5A,46,00,46,30
0.034185,,301,,,3,E2,00,00,,,,,
0.083717,,300,,,8,03,5A,64,5A,46,00,46,21
0.084181,,301,,,3,B3,01,00,,,,,
0.133741,,300,,,8,03,5A,64,5A,46,00,46,12
0.134205,,301,,,3,6B,02,00,,,,,
0.18373,,300,,,8,03,5A,64,5A,46,00,46,03
0.184206,,301,,,3,96,03,00,,,,,
0.233752,,300,,,8,03,5A,64,5A,46,00,46,34
0.234216,,301,,,3,03,04,00,,,,,
0.284517,,300,,,8,03,5A,64,5A,46,00,46,25
0.284981,,301,,,3,54,05,00,,,,,
0.334219,,300,,,8,03,5A,64,5A,46,00,46,16
0.334683,,301,,,3,F5,06,00,,,,,
0.383751,,300,,,8,03,5A,64,5A,46,00,46,07
0.384219,,301,,,3,B8,07,00,,,,,
0.433779,,300,,,8,03,5A,64,5A,46,00,46,B8
0.434247,,301,,,3,80,08,00,,,,,
0.48376,,300,,,8,03,5A,64,5A,46,00,46,A9
0.484228,,301,,,3,88,09,00,,,,,
0.533812,,300,,,8,03,5A,64,5A,46,00,46,9A
0.53428,,301,,,3,C6,0A,00,,,,,
0.583769,,300,,,8,03,5A,64,5A,46,00,46,8B
0.584237,,301,,,3,43,0B,00,,,,,
0.633855,,300,,,8,03,5A,64,5A,46,00,46,BC
0.634323,,301,,,3,B5,0C,00,,,,,
0.683782,,300,,,8,03,5A,64,5A,46,00,46,AD
0.684246,,301,,,3,4E,0D,00,,,,,
0.733918,,300,,,8,03,5A,64,5A,46,00,46,9E
0.734386,,301,,,3,1D,0E,00,,,,,
0.783793,,300,,,8,03,5A,64,5A,46,00,46,8F
0.784261,,301,,,3,E8,0F,00,,,,,
0.833917,,300,,,8,03,5A,64,5A,46,00,46,30
0.834389,,301,,,3,E2,00,00,,,,,
0.883801,,300,,,8,03,5A,64,5A,46,00,46,21
0.884265,,301,,,3,B3,01,00,,,,,
0.933995,,300,,,8,03,5A,64,5A,46,00,46,12
0.934459,,301,,,3,6B,02,00,,,,,
0.983815,,300,,,8,03,5A,64,5A,46,00,46,03
0.984291,,301,,,3,96,03,00,,,,,
1.034008,,300,,,8,03,5A,64,5A,46,00,46,34
1.034472,,301,,,3,03,04,00,,,,,
1.083825,,300,,,8,03,5A,64,5A,46,00,46,25
1.084289,,301,,,3,54,05,00,,,,,
1.134075,,300,,,8,03,5A,64,5A,46,00,46,16
1.134539,,301,,,3,F5,06,00,,,,,
1.183835,,300,,,8,03,5A,64,5A,46,00,46,07
1.184303,,301,,,3,B8,07,00,,,,,
1.234102,,300,,,8,03,5A,64,5A,46,00,46,B8
1.23457,,301,,,3,80,08,00,,,,,
1.284532,,300,,,8,03,5A,64,5A,46,00,46,A9
1.285,,301,,,3,88,09,00,,,,,
1.334624,,300,,,8,03,5A,64,5A,46,00,46,9A
1.335092,,301,,,3,C6,0A,00,,,,,
1.383857,,300,,,8,03,5A,64,5A,46,00,46,8B
1.384325,,301,,,3,43,0B,00,,,,,
1.434152,,300,,,8,03,5A,64,5A,46,00,46,BC
1.43462,,301,,,3,B5,0C,00,,,,,
1.483863,,300,,,8,03,5A,64,5A,46,00,46,AD
1.484327,,301,,,3,4E,0D,00,,,,,
1.5342,,300,,,8,03,5A,64,5A,46,00,46,9E
1.534668,,301,,,3,1D,0E,00,,,,,
1.583875,,300,,,8,03,5A,64,5A,46,00,46,8F
1.584343,,301,,,3,E8,0F,00,,,,,
1.634228,,300,,,8,03,5A,64,5A,46,00,46,30
1.6347,,301,,,3,E2,00,00,,,,,
1.683888,,300,,,8,03,5A,64,5A,46,00,46,21
1.684352,,301,,,3,B3,01,00,,,,,
1.734304,,300,,,8,03,5A,64,5A,46,00,46,12
1.734768,,301,,,3,6B,02,00,,,,,
1.783895,,300,,,8,03,5A,64,5A,46,00,46,03
1.784371,,301,,,3,96,03,00,,,,,
1.834316,,300,,,8,03,5A,64,5A,46,00,46,34
1.83478,,301,,,3,03,04,00,,,,,
1.883908,,300,,,8,03,5A,64,5A,46,00,46,25
1.884372,,301,,,3,54,05,00,,,,,
1.934378,,300,,,8,03,5A,64,5A,46,00,46,16
1.934842,,301,,,3,F5,06,00,,,,,
1.983919,,300,,,8,03,5A,64,5A,46,00,46,07
1.984387,,301,,,3,B8,07,00,,,,,
2.034388,,300,,,8,03,5A,64,5A,46,00,46,B8
2.034857,,301,,,3,80,08,00,,,,,
2.083929,,300,,,8,03,5A,64,5A,46,00,46,A9
2.084397,,301,,,3,88,09,00,,,,,
2.133932,,300,,,8,03,5A,64,5A,46,00,46,9A
2.134905,,301,,,3,C6,0A,00,,,,,
2.183939,,300,,,8,03,5A,64,5A,46,00,46,8B
2.184407,,301,,,3,43,0B,00,,,,,
2.233943,,300,,,8,03,5A,64,5A,46,00,46,BC
2.234915,,301,,,3,B5,0C,00,,,,,
2.284725,,300,,,8,03,5A,64,5A,46,00,46,AD
2.285189,,301,,,3,4E,0D,00,,,,,
2.333953,,300,,,8,03,5A,64,5A,46,00,46,9E
2.335402,,301,,,3,1D,0E,00,,,,,
2.383963,,300,,,8,03,5A,64,5A,46,00,46,8F
2.384431,,301,,,3,E8,0F,00,,,,,
2.433964,,300,,,8,03,5A,64,5A,46,00,46,30
2.43494,,301,,,3,E2,00,00,,,,,
2.483971,,300,,,8,03,5A,64,5A,46,00,46,21
2.484435,,301,,,3,B3,01,00,,,,,
2.533975,,300,,,8,03,5A,64,5A,46,00,46,12
2.534943,,301,,,3,6B,02,00,,,,,
2.583982,,300,,,8,03,5A,64,5A,46,00,46,03
2.584458,,301,,,3,96,03,00,,,,,
2.633984,,300,,,8,03,5A,64,5A,46,00,46,34
2.634952,,301,,,3,03,04,00,,,,,
2.683991,,300,,,8,03,5A,64,5A,46,00,46,25
2.684455,,301,,,3,54,05,00,,,,,
2.733996,,300,,,8,03,5A,64,5A,46,00,46,16
2.734964,,301,,,3,F5,06,00,,,,,
2.784,,300,,,8,03,5A,64,5A,46,00,46,07
2.784468,,301,,,3,B8,07,00,,,,,
2.834006,,300,,,8,03,5A,64,5A,46,00,46,B8
2.834978,,301,,,3,80,08,00,,,,,
2.884011,,300,,,8,03,5A,64,5A,46,00,46,A9
2.884479,,301,,,3,88,09,00,,,,,
2.934017,,300,,,8,03,5A,64,5A,46,00,46,9A
2.934989,,301,,,3,C6,0A,00,,,,,
2.984022,,300,,,8,03,5A,64,5A,46,00,46,8B
2.98449,,301,,,3,43,0B,00,,,,,
3.034026,,300,,,8,03,5A,64,5A,46,00,46,BC
3.034998,,301,,,3,B5,0C,00,,,,,
3.084031,,300,,,8,03,5A,64,5A,46,00,46,AD
3.084496,,301,,,3,4E,0D,00,,,,,
3.134038,,300,,,8,03,5A,64,5A,46,00,46,9E
3.13501,,301,,,3,1D,0E,00,,,,,
3.184043,,300,,,8,03,5A,64,5A,46,00,46,8F
3.184511,,301,,,3,E8,0F,00,,,,,
3.234047,,300,,,8,03,5A,64,5A,46,00,46,30
3.235023,,301,,,3,E2,00,00,,,,,
3.28483,,300,,,8,03,5A,64,5A,46,00,46,21
3.285294,,301,,,3,B3,01,00,,,,,
3.334063,,300,,,8,03,5A,64,5A,46,00,46,12
3.335503,,301,,,3,6B,02,00,,,,,
3.384067,,300,,,8,03,5A,64,5A,46,00,46,03
3.384543,,301,,,3,96,03,00,,,,,
3.43407,,300,,,8,03,5A,64,5A,46,00,46,34
3.435038,,301,,,3,03,04,00,,,,,
3.484076,,300,,,8,03,5A,64,5A,46,00,46,25
3.48454,,301,,,3,54,05,00,,,,,
3.53408,,300,,,8,03,5A,64,5A,46,00,46,16
3.535048,,301,,,3,F5,06,00,,,,,
3.584085,,300,,,8,03,5A,64,5A,46,00,46,07
3.584553,,301,,,3,B8,07,00,,,,,
3.634091,,300,,,8,03,5A,64,5A,46,00,46,B8
3.635063,,301,,,3,80,08,00,,,,,
3.684095,,300,,,8,03,5A,64,5A,46,00,46,A9
3.684563,,301,,,3,88,09,00,,,,,
3.734101,,300,,,8,03,5A,64,5A,46,00,46,9A
3.734569,,301,,,3,C6,0A,00,,,,,
3.784107,,300,,,8,03,5A,64,5A,46,00,46,8B
3.784575,,301,,,3,43,0B,00,,,,,
3.834113,,300,,,8,03,5A,64,5A,46,00,46,BC
3.835085,,301,,,3,B5,0C,00,,,,,
3.884118,,300,,,8,03,5A,64,5A,46,00,46,AD
3.884582,,301,,,3,4E,0D,00,,,,,
3.93412,,300,,,8,03,5A,64,5A,46,00,46,9E
3.934588,,301,,,3,1D,0E,00,,,,,
3.984126,,300,,,8,03,5A,64,5A,46,00,46,8F
3.984594,,301,,,3,E8,0F,00,,,,,
4.034132,,300,,,8,03,5A,64,5A,46,00,46,30
4.034604,,301,,,3,E2,00,00,,,,,
