Timestamp,IsSPI,ID,IsExtended,IsRemote,Length,D1,D2,D3,D4,D5,D6,D7,D8
2.868199,,301,,,3,C6,0A,00,,,,,
2.917739,,300,,,8,03,5A,64,5A,32,00,32,FB
2.918211,,301,,,3,43,0B,00,,,,,
2.967744,,300,,,8,03,5A,64,5A,32,00,32,BC
2.968212,,301,,,3,B5,0C,00,,,,,
3.017749,,300,,,8,03,5A,64,5A,32,00,32,BD
3.018213,,301,,,3,4E,0D,00,,,,,
3.067751,,300,,,8,03,5A,64,5A,32,00,32,BE
3.068219,,301,,,3,1D,0E,00,,,,,
3.117758,,300,,,8,03,5A,64,5A,32,00,32,BF
3.118226,,301,,,3,E8,0F,00,,,,,
3.167764,,300,,,8,03,5A,64,5A,32,00,32,70
3.168228,,301,,,3,E2,00,00,,,,,
3.21777,,300,,,8,03,5A,64,5A,32,00,32,71
3.218234,,301,,,3,B3,01,00,,,,,
3.267775,,300,,,8,03,5A,64,5A,32,00,32,72
3.26824,,301,,,3,6B,02,00,,,,,
3.317781,,300,,,8,03,5A,64,5A,32,00,32,73
3.318249,,301,,,3,96,03,00,,,,,
3.367783,,300,,,8,03,5A,64,5A,32,00,32,34
3.368251,,301,,,3,03,04,00,,,,,
3.418566,,300,,,8,03,5A,64,5A,32,00,32,35
3.419034,,301,,,3,54,05,00,,,,,
3.467795,,300,,,8,03,5A,64,5A,32,00,32,36
3.468263,,301,,,3,F5,06,00,,,,,
3.517803,,300,,,8,03,5A,64,5A,32,00,32,37
3.518267,,301,,,3,B8,07,00,,,,,
3.567805,,300,,,8,03,5A,64,5A,32,00,32,F8
3.568281,,301,,,3,80,08,00,,,,,
3.617812,,300,,,8,03,5A,64,5A,32,00,32,F9
3.61828,,301,,,3,88,09,00,,,,,
3.667817,,300,,,8,03,5A,64,5A,32,00,32,FA
3.668285,,301,,,3,C6,0A,00,,,,,
3.717822,,300,,,8,03,5A,64,5A,32,00,32,FB
3.718294,,301,,,3,43,0B,00,,,,,
3.767827,,300,,,8,03,5A,64,5A,32,00,32,BC
3.768295,,301,,,3,B5,0C,00,,,,,
3.817831,,300,,,8,03,5A,64,5A,32,00,32,BD
3.818295,,301,,,3,4E,0D,00,,,,,
3.867836,,300,,,8,03,5A,64,5A,32,00,32,BE
3.868304,,301,,,3,1D,0E,00,,,,,
3.917841,,300,,,8,03,5A,64,5A,32,00,32,BF
3.918309,,301,,,3,E8,0F,00,,,,,
3.967846,,300,,,8,03,5A,64,5A,32,00,32,70
3.96831,,301,,,3,E2,00,00,,,,,
4.017852,,300,,,8,03,5A,64,5A,32,00,32,71
4.018316,,301,,,3,B3,01,00,,,,,
4.067859,,300,,,8,03,5A,64,5A,32,00,32,72
4.068323,,301,,,3,6B,02,00,,,,,
4.117863,,300,,,8,03,5A,64,5A,32,00,32,73
4.118331,,301,,,3,96,03,00,,,,,
4.167868,,300,,,8,03,5A,64,5A,32,00,32,34
4.168336,,301,,,3,03,04,00,,,,,
4.217875,,300,,,8,03,5A,64,5A,32,00,32,35
4.218343,,301,,,3,54,05,00,,,,,
4.267881,,300,,,8,03,5A,64,5A,32,00,32,36
4.268349,,301,,,3,F5,06,00,,,,,
4.317884,,300,,,8,03,5A,64,5A,32,00,32,37
4.318348,,301,,,3,B8,07,00,,,,,
