Timestamp,IsSPI,ID,IsExtended,IsRemote,Length,D1,D2,D3,D4,D5,D6,D7,D8
0.038641,,300,,,8,03,A5,64,5A,64,00,64,76
0.039113,,301,,,3,F5,06,00,,,,,
0.087871,,300,,,8,03,A5,64,5A,64,00,64,67
0.088339,,301,,,3,B8,07,00,,,,,
0.137877,,300,,,8,03,A5,64,5A,64,00,64,F8
0.138345,,301,,,3,80,08,00,,,,,
0.187879,,300,,,8,03,A5,64,5A,64,00,64,E9
0.188347,,301,,,3,88,09,00,,,,,
0.237884,,300,,,8,03,A5,64,5A,64,00,64,FA
0.238352,,301,,,3,C6,0A,00,,,,,
0.28789,,300,,,8,03,A5,64,5A,64,00,64,EB
0.288354,,301,,,3,43,0B,00,,,,,
0.337895,,300,,,8,03,A5,64,5A,64,00,64,FC
0.338367,,301,,,3,B5,0C,00,,,,,
0.387902,,300,,,8,03,A5,64,5A,64,00,64,ED
0.388366,,301,,,3,4E,0D,00,,,,,
0.437904,,300,,,8,03,A5,64,5A,64,00,64,FE
0.43838,,301,,,3,1D,0E,00,,,,,
0.487911,,300,,,8,03,A5,64,5A,64,00,64,EF
0.488379,,301,,,3,E8,0F,00,,,,,
0.537916,,300,,,8,03,A5,64,5A,64,00,64,70
0.538388,,301,,,3,E2,00,00,,,,,
0.587922,,300,,,8,03,A5,64,5A,64,00,64,61
0.588386,,301,,,3,B3,01,00,,,,,
0.637926,,300,,,8,03,A5,64,5A,64,00,64,72
0.63839,,301,,,3,6B,02,00,,,,,
0.687932,,300,,,8,03,A5,64,5A,64,00,64,63
0.688396,,301,,,3,96,03,00,,,,,
0.737936,,300,,,8,03,A5,64,5A,64,00,64,74
0.7384,,301,,,3,03,04,00,,,,,
0.787943,,300,,,8,03,A5,64,5A,64,00,64,65
0.788407,,301,,,3,54,05,00,,,,,
0.837948,,300,,,8,03,A5,64,5A,64,00,64,76
0.83842,,301,,,3,F5,06,00,,,,,
0.887951,,300,,,8,03,A5,64,5A,64,00,64,67
0.888419,,301,,,3,B8,07,00,,,,,
0.937957,,300,,,8,03,A5,64,5A,64,00,64,F8
0.938425,,301,,,3,80,08,00,,,,,
0.987963,,300,,,8,03,A5,64,5A,64,00,64,E9
0.988431,,301,,,3,88,09,00,,,,,
1.039224,,300,,,8,03,A5,64,5A,64,00,64,FA
1.039692,,301,,,3,C6,0A,00,,,,,
1.087974,,300,,,8,03,A5,64,5A,64,00,64,EB
1.088438,,301,,,3,43,0B,00,,,,,
