Timestamp,IsSPI,ID,IsExtended,IsRemote,Length,D1,D2,D3,D4,D5,D6,D7,D8
2.648849,,301,,,3,E2,00,00,,,,,
2.657843,,404,,,2,27,00,,,,,,
2.689084,,404,,,2,4C,00,,,,,,
2.698382,,300,,,8,03,5A,64,5A,50,00,50,71
2.698854,,301,,,3,B3,01,00,,,,,
2.720335,,404,,,2,46,00,,,,,,
2.748387,,300,,,8,03,5A,64,5A,50,00,50,52
2.748859,,301,,,3,6B,02,00,,,,,
2.756946,,404,,,2,4D,00,,,,,,
2.782838,,404,,,2,50,00,,,,,,
2.798393,,300,,,8,03,5A,64,5A,50,00,50,53
2.798861,,301,,,3,96,03,00,,,,,
2.814091,,404,,,2,02,00,,,,,,
2.845374,,404,,,2,0A,00,,,,,,
2.8484,,300,,,8,03,5A,64,5A,50,00,50,74
2.848868,,301,,,3,03,04,00,,,,,
2.876645,,404,,,2,04,00,,,,,,
2.898405,,300,,,8,03,5A,64,5A,50,00,50,75
2.898873,,301,,,3,54,05,00,,,,,
2.91383,,404,,,2,B0,01,,,,,,
2.939109,,404,,,2,B1,01,,,,,,
2.948411,,300,,,8,03,5A,64,5A,50,00,50,56
2.948879,,301,,,3,F5,06,00,,,,,
2.998416,,300,,,8,03,5A,64,5A,50,00,50,57
2.998888,,301,,,3,B8,07,00,,,,,
3.048421,,300,,,8,03,5A,64,5A,50,00,50,F8
3.048897,,301,,,3,80,08,00,,,,,
3.098426,,300,,,8,03,5A,64,5A,50,00,50,F9
3.098894,,301,,,3,88,09,00,,,,,
3.148431,,300,,,8,03,5A,64,5A,50,00,50,DA
3.148895,,301,,,3,C6,0A,00,,,,,
3.198436,,300,,,8,03,5A,64,5A,50,00,50,DB
3.198912,,301,,,3,43,0B,00,,,,,
3.248439,,300,,,8,03,5A,64,5A,50,00,50,FC
3.248911,,301,,,3,B5,0C,00,,,,,
3.299225,,300,,,8,03,5A,64,5A,50,00,50,FD
3.299693,,301,,,3,4E,0D,00,,,,,
3.348453,,300,,,8,03,5A,64,5A,50,00,50,DE
3.348917,,301,,,3,1D,0E,00,,,,,
3.39846,,300,,,8,03,5A,64,5A,50,00,50,DF
3.398936,,301,,,3,E8,0F,00,,,,,
3.448462,,300,,,8,03,5A,64,5A,50,00,50,70
3.448934,,301,,,3,E2,00,00,,,,,
3.498466,,300,,,8,03,5A,64,5A,50,00,50,71
3.498938,,301,,,3,B3,01,00,,,,,
3.548473,,300,,,8,03,5A,64,5A,50,00,50,52
3.548945,,301,,,3,6B,02,00,,,,,
3.598476,,300,,,8,03,5A,64,5A,50,00,50,53
3.598944,,301,,,3,96,03,00,,,,,
3.648484,,300,,,8,03,5A,64,5A,50,00,50,74
3.648952,,301,,,3,03,04,00,,,,,
3.698487,,300,,,8,03,5A,64,5A,50,00,50,75
3.698956,,301,,,3,54,05,00,,,,,
3.748495,,300,,,8,03,5A,64,5A,50,00,50,56
3.748963,,301,,,3,F5,06,00,,,,,
3.798499,,300,,,8,03,5A,64,5A,50,00,50,57
3.798971,,301,,,3,B8,07,00,,,,,
3.848505,,300,,,8,03,5A,64,5A,50,00,50,F8
3.848981,,301,,,3,80,08,00,,,,,
3.898509,,300,,,8,03,5A,64,5A,50,00,50,F9
3.898977,,301,,,3,88,09,00,,,,,
3.948515,,300,,,8,03,5A,64,5A,50,00,50,DA
3.948979,,301,,,3,C6,0A,00,,,,,
3.99852,,300,,,8,03,5A,64,5A,50,00,50,DB
3.998996,,301,,,3,43,0B,00,,,,,
4.048527,,300,,,8,03,5A,64,5A,50,00,50,FC
4.048999,,301,,,3,B5,0C,00,,,,,
4.098529,,300,,,8,03,5A,64,5A,50,00,50,FD
