0.006611,,300,,,8,03,5A,64,5A,1E,00,1E,B8
0.007075,,301,,,3,80,08,00,,,,,
0.056619,,300,,,8,03,5A,64,5A,1E,00,1E,B9
0.057083,,301,,,3,88,09,00,,,,,
0.106622,,300,,,8,03,5A,64,5A,1E,00,1E,9A
0.10709,,301,,,3,C6,0A,00,,,,,
0.15663,,300,,,8,03,5A,64,5A,1E,00,1E,9B
0.157094,,301,,,3,43,0B,00,,,,,
0.206633,,300,,,8,03,5A,64,5A,1E,00,1E,FC
0.207101,,301,,,3,B5,0C,00,,,,,
0.256638,,300,,,8,03,5A,64,5A,1E,00,1E,FD
0.257106,,301,,,3,4E,0D,00,,,,,
0.306645,,300,,,8,03,5A,64,5A,1E,00,1E,DE
0.307113,,301,,,3,1D,0E,00,,,,,
0.356649,,300,,,8,03,5A,64,5A,1E,00,1E,DF
0.357117,,301,,,3,E8,0F,00,,,,,
0.406656,,300,,,8,03,5A,64,5A,1E,00,1E,30
0.407124,,301,,,3,E2,00,00,,,,,
0.456658,,300,,,8,03,5A,64,5A,1E,00,1E,31
0.457122,,301,,,3,B3,01,00,,,,,
0.506665,,300,,,8,03,5A,64,5A,1E,00,1E,12
0.507129,,301,,,3,6B,02,00,,,,,
0.556671,,300,,,8,03,5A,64,5A,1E,00,1E,13
0.557135,,301,,,3,96,03,00,,,,,
0.606676,,300,,,8,03,5A,64,5A,1E,00,1E,74
0.60714,,301,,,3,03,04,00,,,,,
0.65668,,300,,,8,03,5A,64,5A,1E,00,1E,75
0.657152,,301,,,3,54,05,00,,,,,
0.707462,,300,,,8,03,5A,64,5A,1E,00,1E,56
0.70793,,301,,,3,F5,06,00,,,,,
0.756692,,300,,,8,03,5A,64,5A,1E,00,1E,57
0.75716,,301,,,3,B8,07,00,,,,,
0.806699,,300,,,8,03,5A,64,5A,1E,00,1E,B8
0.807163,,301,,,3,80,08,00,,,,,
0.8567,,300,,,8,03,5A,64,5A,1E,00,1E,B9
0.857164,,301,,,3,88,09,00,,,,,
0.906707,,300,,,8,03,5A,64,5A,1E,00,1E,9A
0.907175,,301,,,3,C6,0A,00,,,,,
0.956711,,300,,,8,03,5A,64,5A,1E,00,1E,9B
0.957175,,301,,,3,43,0B,00,,,,,
1.006718,,300,,,8,03,5A,64,5A,1E,00,1E,FC
1.007186,,301,,,3,B5,0C,00,,,,,
1.056722,,300,,,8,03,5A,64,5A,1E,00,1E,FD
1.05719,,301,,,3,4E,0D,00,,,,,
1.106727,,300,,,8,03,5A,64,5A,1E,00,1E,DE
1.107195,,301,,,3,1D,0E,00,,,,,
1.156732,,300,,,8,03,5A,64,5A,1E,00,1E,DF
1.1572,,301,,,3,E8,0F,00,,,,,
1.206739,,300,,,8,03,5A,64,5A,1E,00,1E,30
1.207207,,301,,,3,E2,00,00,,,,,
1.256745,,300,,,8,03,5A,64,5A,1E,00,1E,31
1.257209,,301,,,3,B3,01,00,,,,,
1.306748,,300,,,8,03,5A,64,5A,1E,00,1E,12
1.307212,,301,,,3,6B,02,00,,,,,
1.356753,,300,,,8,03,5A,64,5A,1E,00,1E,13
1.357217,,301,,,3,96,03,00,,,,,
1.40676,,300,,,8,03,5A,64,5A,1E,00,1E,74
1.407224,,301,,,3,03,04,00,,,,,
1.456765,,300,,,8,03,5A,64,5A,1E,00,1E,75
1.457237,,301,,,3,54,05,00,,,,,
1.506768,,300,,,8,03,5A,64,5A,1E,00,1E,56
1.507236,,301,,,3,F5,06,00,,,,,
1.556775,,300,,,8,03,5A,64,5A,1E,00,1E,57
1.557244,,301,,,3,B8,07,00,,,,,
1.606779,,300,,,8,03,5A,64,5A,1E,00,1E,B8
1.607243,,301,,,3,80,08,00,,,,,
1.656786,,300,,,8,03,5A,64,5A,1E,00,1E,B9
1.65725,,301,,,3,88,09,00,,,,,
1.707569,,300,,,8,03,5A,64,5A,1E,00,1E,9A
1.708037,,301,,,3,C6,0A,00,,,,,
1.756797,,300,,,8,03,5A,64,5A,1E,00,1E,9B
1.757261,,301,,,3,43,0B,00,,,,,
1.806804,,300,,,8,03,5A,64,5A,1E,00,1E,FC
1.807272,,301,,,3,B5,0C,00,,,,,
1.856807,,300,,,8,03,5A,64,5A,1E,00,1E,FD
