name,type,start_time,duration,"identifier","extended","num_data_bytes","RemoteFrame","remote_frame","crc","ack","data"
"CAN","data_field",0.297229,0.000032,,,,,,,,0x03
"CAN","data_field",0.297265,0.000028,,,,,,,,0x5A
"CAN","data_field",0.297297,0.000028,,,,,,,,0x64
"CAN","data_field",0.297329,0.000028,,,,,,,,0x5A
"CAN","data_field",0.297361,0.000028,,,,,,,,0x64
"CAN","data_field",0.297393,0.000032,,,,,,,,0x00
"CAN","data_field",0.297433,0.000028,,,,,,,,0x64
"CAN","data_field",0.297465,0.000028,,,,,,,,0x34
"CAN","crc_field",0.297497,0.000056,,,,,,0x0000000000004AC6,,
"CAN","ack_field",0.297561,0.000004,,,,,,,true,
"CAN","identifier_field",0.297613,0.000056,0x0000000000000301,,,,,,,
"CAN","control_field",0.297673,0.000016,,,0x0000000000000003,,,,,
"CAN","data_field",0.297693,0.000032,,,,,,,,0x03
"CAN","data_field",0.297729,0.000032,,,,,,,,0x04
"CAN","data_field",0.297765,0.000032,,,,,,,,0x00
"CAN","crc_field",0.297805,0.000056,,,,,,0x0000000000000A50,,
"CAN","ack_field",0.297869,0.000004,,,,,,,true,
"CAN","identifier_field",0.347155,0.00006,0x0000000000000300,,,,,,,
"CAN","control_field",0.347219,0.000012,,,0x0000000000000008,,,,,
"CAN","data_field",0.347235,0.000032,,,,,,,,0x03
"CAN","data_field",0.347271,0.000028,,,,,,,,0x5A
"CAN","data_field",0.347303,0.000028,,,,,,,,0x64
"CAN","data_field",0.347335,0.000028,,,,,,,,0x5A
"CAN","data_field",0.347367,0.000028,,,,,,,,0x64
"CAN","data_field",0.347399,0.000032,,,,,,,,0x00
"CAN","data_field",0.347439,0.000028,,,,,,,,0x64
"CAN","data_field",0.347471,0.000028,,,,,,,,0x25
"CAN","crc_field",0.347503,0.000056,,,,,,0x00000000000022C8,,
"CAN","ack_field",0.347567,0.000004,,,,,,,true,
"CAN","identifier_field",0.347619,0.000056,0x0000000000000301,,,,,,,
"CAN","control_field",0.347679,0.000016,,,0x0000000000000003,,,,,
"CAN","data_field",0.347699,0.000028,,,,,,,,0x54
"CAN","data_field",0.347731,0.000032,,,,,,,,0x05
"CAN","data_field",0.347767,0.000032,,,,,,,,0x00
"CAN","crc_field",0.347803,0.000056,,,,,,0x000000000000342C,,
"CAN","ack_field",0.347867,0.000004,,,,,,,true,
"CAN","identifier_field",0.397158,0.00006,0x0000000000000300,,,,,,,
"CAN","control_field",0.397222,0.000012,,,0x0000000000000008,,,,,
"CAN","data_field",0.397238,0.000032,,,,,,,,0x03
"CAN","data_field",0.397274,0.000028,,,,,,,,0x5A
"CAN","data_field",0.397306,0.000028,,,,,,,,0x64
"CAN","data_field",0.397338,0.000028,,,,,,,,0x5A
"CAN","data_field",0.39737,0.000028,,,,,,,,0x64
"CAN","data_field",0.397402,0.000032,,,,,,,,0x00
"CAN","data_field",0.397442,0.000028,,,,,,,,0x64
"CAN","data_field",0.397474,0.000028,,,,,,,,0x36
"CAN","crc_field",0.397506,0.00006,,,,,,0x000000000000046D,,
"CAN","ack_field",0.397574,0.000004,,,,,,,true,
"CAN","identifier_field",0.397626,0.000056,0x0000000000000301,,,,,,,
"CAN","control_field",0.397686,0.000016,,,0x0000000000000003,,,,,
"CAN","data_field",0.397706,0.000032,,,,,,,,0xF5
"CAN","data_field",0.397742,0.000032,,,,,,,,0x06
"CAN","data_field",0.397778,0.000032,,,,,,,,0x00
"CAN","crc_field",0.397814,0.00006,,,,,,0x0000000000004168,,
"CAN","ack_field",0.397882,0.000004,,,,,,,true,
"CAN","identifier_field",0.447165,0.00006,0x0000000000000300,,,,,,,
"CAN","control_field",0.447229,0.000012,,,0x0000000000000008,,,,,
"CAN","data_field",0.447245,0.000032,,,,,,,,0x03
"CAN","data_field",0.447281,0.000028,,,,,,,,0x5A
"CAN","data_field",0.447313,0.000028,,,,,,,,0x64
"CAN","data_field",0.447345,0.000028,,,,,,,,0x5A
"CAN","data_field",0.447377,0.000028,,,,,,,,0x64
"CAN","data_field",0.447409,0.000032,,,,,,,,0x00
"CAN","data_field",0.447449,0.000028,,,,,,,,0x64
"CAN","data_field",0.447481,0.000028,,,,,,,,0x27
"CAN","crc_field",0.447513,0.00006,,,,,,0x0000000000006C63,,
"CAN","ack_field",0.447581,0.000004,,,,,,,true,
"CAN","identifier_field",0.447633,0.000056,0x0000000000000301,,,,,,,
"CAN","control_field",0.447693,0.000016,,,0x0000000000000003,,,,,
"CAN","data_field",0.447713,0.000028,,,,,,,,0xB8
"CAN","data_field",0.447745,0.000032,,,,,,,,0x07
"CAN","data_field",0.447781,0.000032,,,,,,,,0x00
"CAN","crc_field",0.447817,0.000056,,,,,,0x0000000000006ADB,,
"CAN","ack_field",0.447881,0.000004,,,,,,,true,
"CAN","identifier_field",0.497172,0.00006,0x0000000000000300,,,,,,,
"CAN","control_field",0.497236,0.000012,,,0x0000000000000008,,,,,
"CAN","data_field",0.497252,0.000032,,,,,,,,0x03
"CAN","data_field",0.497288,0.000028,,,,,,,,0x5A
"CAN","data_field",0.49732,0.000028,,,,,,,,0x64
"CAN","data_field",0.497352,0.000028,,,,,,,,0x5A
"CAN","data_field",0.497384,0.000028,,,,,,,,0x64
"CAN","data_field",0.497416,0.000032,,,,,,,,0x00
"CAN","data_field",0.497456,0.000028,,,,,,,,0x64
"CAN","data_field",0.497488,0.000028,,,,,,,,0xB8
"CAN","crc_field",0.49752,0.00006,,,,,,0x000000000000441D,,
"CAN","ack_field",0.497588,0.000004,,,,,,,true,
"CAN","identifier_field",0.49764,0.000056,0x0000000000000301,,,,,,,
"CAN","control_field",0.4977,0.000016,,,0x0000000000000003,,,,,
