name,type,start_time,duration,"identifier","extended","num_data_bytes","RemoteFrame","remote_frame","crc","ack","data"
"CAN","data_field",0.285445,0.000028,,,,,,,,0x5A
"CAN","data_field",0.285477,0.000028,,,,,,,,0x64
"CAN","data_field",0.285509,0.000028,,,,,,,,0x5A
"CAN","data_field",0.285541,0.000028,,,,,,,,0x64
"CAN","data_field",0.285573,0.000032,,,,,,,,0x00
"CAN","data_field",0.285613,0.000028,,,,,,,,0x64
"CAN","data_field",0.285645,0.000028,,,,,,,,0x25
"CAN","crc_field",0.285677,0.000056,,,,,,0x00000000000022C8,,
"CAN","ack_field",0.285741,0.000004,,,,,,,true,
"CAN","identifier_field",0.285793,0.000056,0x0000000000000301,,,,,,,
"CAN","control_field",0.285853,0.000016,,,0x0000000000000003,,,,,
"CAN","data_field",0.285873,0.000028,,,,,,,,0x54
"CAN","data_field",0.285905,0.000032,,,,,,,,0x05
"CAN","data_field",0.285941,0.000032,,,,,,,,0x00
"CAN","crc_field",0.285977,0.000056,,,,,,0x000000000000342C,,
"CAN","ack_field",0.286041,0.000004,,,,,,,true,
"CAN","identifier_field",0.335334,0.00006,0x0000000000000300,,,,,,,
"CAN","control_field",0.335398,0.000012,,,0x0000000000000008,,,,,
"CAN","data_field",0.335414,0.000032,,,,,,,,0x03
"CAN","data_field",0.33545,0.000028,,,,,,,,0x5A
"CAN","data_field",0.335482,0.000028,,,,,,,,0x64
"CAN","data_field",0.335514,0.000028,,,,,,,,0x5A
"CAN","data_field",0.335546,0.000028,,,,,,,,0x64
"CAN","data_field",0.335578,0.000032,,,,,,,,0x00
"CAN","data_field",0.335618,0.000028,,,,,,,,0x64
"CAN","data_field",0.33565,0.000028,,,,,,,,0x36
"CAN","crc_field",0.335682,0.00006,,,,,,0x000000000000046D,,
"CAN","ack_field",0.33575,0.000004,,,,,,,true,
"CAN","identifier_field",0.335802,0.000056,0x0000000000000301,,,,,,,
"CAN","control_field",0.335862,0.000016,,,0x0000000000000003,,,,,
"CAN","data_field",0.335882,0.000032,,,,,,,,0xF5
"CAN","data_field",0.335918,0.000032,,,,,,,,0x06
"CAN","data_field",0.335954,0.000032,,,,,,,,0x00
"CAN","crc_field",0.33599,0.00006,,,,,,0x0000000000004168,,
"CAN","ack_field",0.336058,0.000004,,,,,,,true,
"CAN","identifier_field",0.385341,0.00006,0x0000000000000300,,,,,,,
"CAN","control_field",0.385405,0.000012,,,0x0000000000000008,,,,,
"CAN","data_field",0.385421,0.000032,,,,,,,,0x03
"CAN","data_field",0.385457,0.000028,,,,,,,,0x5A
"CAN","data_field",0.385489,0.000028,,,,,,,,0x64
"CAN","data_field",0.385521,0.000028,,,,,,,,0x5A
"CAN","data_field",0.385553,0.000028,,,,,,,,0x64
"CAN","data_field",0.385585,0.000032,,,,,,,,0x00
"CAN","data_field",0.385625,0.000028,,,,,,,,0x64
"CAN","data_field",0.385657,0.000028,,,,,,,,0x27
"CAN","crc_field",0.385689,0.00006,,,,,,0x0000000000006C63,,
"CAN","ack_field",0.385757,0.000004,,,,,,,true,
"CAN","identifier_field",0.385809,0.000056,0x0000000000000301,,,,,,,
"CAN","control_field",0.385869,0.000016,,,0x0000000000000003,,,,,
"CAN","data_field",0.385889,0.000028,,,,,,,,0xB8
"CAN","data_field",0.385921,0.000032,,,,,,,,0x07
"CAN","data_field",0.385957,0.000032,,,,,,,,0x00
"CAN","crc_field",0.385993,0.000056,,,,,,0x0000000000006ADB,,
"CAN","ack_field",0.386057,0.000004,,,,,,,true,
"CAN","identifier_field",0.435345,0.00006,0x0000000000000300,,,,,,,
"CAN","control_field",0.435409,0.000012,,,0x0000000000000008,,,,,
"CAN","data_field",0.435425,0.000032,,,,,,,,0x03
"CAN","data_field",0.435461,0.000028,,,,,,,,0x5A
