15:46:38.216,1,203,0,0,8,0,0,0,0,0,0,0,0
15:46:38.279,1,300,0,0,8,3,5a,64,5a,64,0,64,ba
15:46:38.342,1,206,0,0,8,0,0,0,0,0,0,0,0
15:46:38.407,1,201,0,0,5,0,0,0,0,62,,,
15:46:38.468,1,300,0,0,8,3,5a,64,5a,64,0,64,be
15:46:38.531,1,300,0,0,8,3,5a,64,5a,64,0,64,af
15:46:38.595,1,201,0,0,5,0,0,0,0,62,,,
15:46:38.657,1,403,0,0,8,64,0,0,0,40,e3,9,0
15:46:38.721,1,203,0,0,8,0,0,0,0,0,0,0,0
15:46:38.784,1,300,0,0,8,3,5a,64,5a,64,0,64,34
15:46:38.847,1,206,0,0,8,0,0,0,0,0,0,0,0
15:46:38.909,1,201,0,0,5,0,0,0,0,62,,,
15:46:38.972,1,300,0,0,8,3,5a,64,5a,64,0,64,b8
15:46:39.035,1,300,0,0,8,3,5a,64,5a,64,0,64,a9
15:46:39.098,1,201,0,0,5,0,0,0,0,62,,,
15:46:39.161,1,402,0,0,8,5e,0,0,0,8,3d,9,0
15:46:39.224,1,300,0,0,8,3,5a,64,5a,64,0,64,ad
15:46:39.287,1,401,0,0,8,17,a0,0,0,45,0,0,0
15:46:39.351,1,300,0,0,8,3,5a,64,5a,64,0,64,30
15:46:39.415,1,400,0,0,8,1,0,c,0,0,0,0,0
15:46:39.470,1,300,0,0,8,3,5a,64,5a,64,0,64,32
15:46:39.541,1,206,0,0,8,0,0,0,0,0,0,0,0
15:46:39.604,1,201,0,0,5,0,0,0,0,62,,,
15:46:39.666,1,403,0,0,8,64,0,0,0,40,e3,9,0
15:46:39.729,1,300,0,0,8,3,5a,64,5a,64,0,64,27
15:46:39.792,1,401,0,0,8,17,a0,0,0,45,0,0,0
15:46:39.856,1,300,0,0,8,3,5a,64,5a,64,0,64,ba
15:46:39.918,1,203,0,0,8,0,0,0,0,0,0,0,0
15:46:39.981,1,300,0,0,8,3,5a,64,5a,64,0,64,bc
15:46:40.045,1,206,0,0,8,0,0,0,0,0,0,0,0
15:46:40.107,1,201,0,0,5,0,0,0,0,62,,,
15:46:40.170,1,402,0,0,8,5e,0,0,0,8,3d,9,0
15:46:40.233,1,300,0,0,8,3,5a,64,5a,64,0,64,21
15:46:40.297,1,401,0,0,8,15,a0,0,0,45,0,0,0
15:46:40.359,1,300,0,0,8,3,5a,64,5a,64,0,64,34
15:46:40.422,1,203,0,0,8,0,0,0,0,0,0,0,0
