Timestamp,IsMotorToTCU,ID,IsExtended,IsRemote,Length,D1,D2,D3,D4,D5,D6,D7,D8
138907,1,203,0,0,8,56,2,0,0,0,0,0,80
138914,1,400,0,0,8,1,0,6c,0,0,0,0,0
138917,0,300,0,0,8,3,a5,64,5a,64,0,64,70
138918,0,301,0,0,3,e2,0,0
138967,0,300,0,0,8,3,a5,64,5a,64,0,64,61
138968,0,301,0,0,3,b3,1,0
138994,1,401,0,0,8,40,a0,0,0,b0,3,0,0
138995,1,201,0,0,6,22,1,0,0,63,0
139007,1,203,0,0,8,8a,2,0,0,0,0,0,80
139014,1,400,0,0,8,1,0,6c,0,0,0,0,0
139017,0,300,0,0,8,3,a5,64,5a,64,0,64,72
139018,0,301,0,0,3,6b,2,0
139067,0,300,0,0,8,3,a5,64,5a,64,0,64,63
139068,0,301,0,0,3,96,3,0
139094,1,401,0,0,8,40,a0,0,0,b0,3,0,0
139095,1,201,0,0,6,22,1,0,0,63,0
139107,1,203,0,0,8,97,2,0,0,0,0,0,80
139114,1,400,0,0,8,1,0,6c,0,0,0,0,0
139117,0,300,0,0,8,3,a5,64,5a,64,0,64,74
139118,0,301,0,0,3,3,4,0
139167,0,300,0,0,8,3,a5,64,5a,64,0,64,65
139168,0,301,0,0,3,54,5,0
139194,1,401,0,0,8,66,a0,0,0,64,2,0,0
139195,1,201,0,0,6,22,1,0,0,63,0
139207,1,203,0,0,8,a8,2,0,0,0,0,0,80
139214,1,400,0,0,8,1,0,6c,0,0,0,0,0
139217,0,300,0,0,8,3,a5,64,5a,64,0,64,76
139218,0,301,0,0,3,f5,6,0
139267,0,300,0,0,8,3,a5,64,5a,64,0,64,67
139268,0,301,0,0,3,b8,7,0
139274,1,402,0,0,8,64,0,0,0,24,e1,9,0
139294,1,401,0,0,8,66,a0,0,0,64,2,0,0
139295,1,201,0,0,6,22,1,0,0,63,0
139307,1,203,0,0,8,ab,2,0,0,0,0,0,80
139314,1,400,0,0,8,1,0,6c,0,0,0,0,0
139317,0,300,0,0,8,3,a5,64,5a,64,0,64,f8
139318,0,301,0,0,3,80,8,0
139367,0,300,0,0,8,3,a5,64,5a,64,0,64,e9
139368,0,301,0,0,3,88,9,0
139394,1,401,0,0,8,62,a0,0,0,8,1,0,0
139395,1,201,0,0,6,22,1,0,0,63,0
139407,1,203,0,0,8,b9,2,0,0,0,0,0,80
139414,1,400,0,0,8,1,0,4c,0,0,0,0,0
139417,0,300,0,0,8,3,a5,64,5a,64,0,64,fa
139418,0,301,0,0,3,c6,a,0
139467,0,300,0,0,8,3,a5,64,5a,64,0,64,eb
139468,0,301,0,0,3,43,b,0
139494,1,401,0,0,8,62,a0,0,0,8,1,0,0
139495,1,201,0,0,6,22,1,0,0,63,0
139507,1,203,0,0,8,66,2,0,0,0,0,0,80
139514,1,400,0,0,8,1,0,4c,0,0,0,0,0
139517,0,300,0,0,8,3,a5,64,5a,64,0,64,fc
139518,0,301,0,0,3,b5,c,0
139519,1,204,0,0,8,0,0,0,0,0,0,0,0
139531,1,202,0,0,8,e2,14,0,0,9f,fd,1a,0
139543,1,666,0,0,8,52,8,1,5,52,57,12,44
139555,1,665,0,0,8,0,0,0,53,4c,18,53,0
139567,1,200,0,0,8,64,0,24,e1,9,0,1,0
139567,0,300,0,0,8,3,a5,64,5a,64,0,64,ed
139568,0,301,0,0,3,4e,d,0
139595,1,401,0,0,8,62,a0,0,0,8,1,0,0
139595,1,201,0,0,6,22,1,0,0,63,0
139607,1,203,0,0,8,64,2,0,0,0,0,0,80
139615,1,400,0,0,8,1,0,6c,0,0,0,0,0
139617,0,300,0,0,8,3,a5,64,5a,64,0,64,fe
139618,0,301,0,0,3,1d,e,0
139667,0,300,0,0,8,3,a5,64,5a,64,0,64,ef
139668,0,301,0,0,3,e8,f,0
139695,1,401,0,0,8,42,a0,0,0,44,1,0,0
139695,1,201,0,0,6,22,1,0,0,63,0
139707,1,203,0,0,8,70,2,0,0,0,0,0,80
139715,1,400,0,0,8,1,0,6c,0,0,0,0,0
139717,0,300,0,0,8,3,a5,64,5a,64,0,64,70
139718,0,301,0,0,3,e2,0,0
139767,0,300,0,0,8,3,a5,64,5a,64,0,64,61
139768,0,301,0,0,3,b3,1,0
139775,1,403,0,0,8,63,0,0,0,20,e2,9,0
139795,1,401,0,0,8,42,a0,0,0,44,1,0,0
139795,1,201,0,0,6,22,1,0,0,63,0
139807,1,203,0,0,8,7d,2,0,0,0,0,0,80
139815,1,400,0,0,8,1,0,6c,0,0,0,0,0
139817,0,300,0,0,8,3,a5,64,5a,64,0,64,72
139818,0,301,0,0,3,6b,2,0
