Timestamp,IsMotorToTCU,ID,IsExtended,IsRemote,Length,D1,D2,D3,D4,D5,D6,D7,D8
80048,1,401,0,0,8,99,a0,0,0,55,0,0,0
80049,0,300,0,0,8,3,5a,64,5a,64,0,64,32
80049,0,301,0,0,3,6b,2,0
80068,1,400,0,0,8,1,0,4c,0,0,0,0,0
80098,0,300,0,0,8,3,5a,64,5a,64,0,64,23
80099,0,301,0,0,3,96,3,0
80129,1,201,0,0,6,f6,4,0,0,62,0
80142,1,203,0,0,8,0,0,0,0,0,0,0,0
80148,1,401,0,0,8,97,a0,0,0,55,0,0,0
80149,0,300,0,0,8,3,5a,64,5a,64,0,64,34
80149,0,301,0,0,3,3,4,0
80168,1,400,0,0,8,1,0,4c,0,0,0,0,0
80198,0,300,0,0,8,3,5a,64,5a,64,0,64,25
80199,0,301,0,0,3,54,5,0
80228,1,403,0,0,8,63,0,0,0,20,e2,9,0
80229,1,201,0,0,6,f6,4,0,0,62,0
80242,1,203,0,0,8,0,0,0,0,0,0,0,0
80248,1,401,0,0,8,97,a0,0,0,56,0,0,0
80248,0,300,0,0,8,3,5a,64,5a,64,0,64,36
80249,0,301,0,0,3,f5,6,0
80268,1,400,0,0,8,1,0,4c,0,0,0,0,0
80298,0,300,0,0,8,3,5a,64,5a,64,0,64,27
80299,0,301,0,0,3,b8,7,0
80329,1,201,0,0,6,f6,4,0,0,62,0
80342,1,203,0,0,8,0,0,0,0,0,0,0,0
80348,1,401,0,0,8,97,a0,0,0,56,0,0,0
80348,0,300,0,0,8,3,5a,64,5a,64,0,64,b8
80349,0,301,0,0,3,80,8,0
80368,1,400,0,0,8,1,0,4c,0,0,0,0,0
80398,0,300,0,0,8,3,5a,64,5a,64,0,64,a9
80399,0,301,0,0,3,88,9,0
80429,1,201,0,0,6,c0,3,0,0,62,0
80442,1,203,0,0,8,0,0,0,0,0,0,0,0
80448,1,401,0,0,8,95,a0,0,0,56,0,0,0
80448,0,300,0,0,8,3,5a,64,5a,64,0,64,ba
80449,0,301,0,0,3,c6,a,0
80468,1,400,0,0,8,1,0,4c,0,0,0,0,0
80498,0,300,0,0,8,3,5a,64,5a,64,0,64,ab
80499,0,301,0,0,3,43,b,0
80530,1,201,0,0,6,c0,3,0,0,62,0
80542,1,203,0,0,8,0,0,0,0,0,0,0,0
80548,1,401,0,0,8,95,a0,0,0,56,0,0,0
80548,0,300,0,0,8,3,5a,64,5a,64,0,64,bc
80549,0,301,0,0,3,b5,c,0
80568,1,400,0,0,8,1,0,4c,0,0,0,0,0
80598,0,300,0,0,8,3,5a,64,5a,64,0,64,ad
80599,0,301,0,0,3,4e,d,0
80630,1,201,0,0,6,2,3,0,0,62,0
80642,1,203,0,0,8,0,0,0,0,0,0,0,0
80648,1,401,0,0,8,97,a0,0,0,56,0,0,0
80648,0,300,0,0,8,3,5a,64,5a,64,0,64,be
80649,0,301,0,0,3,1d,e,0
80668,1,400,0,0,8,1,0,4c,0,0,0,0,0
80698,0,300,0,0,8,3,5a,64,5a,64,0,64,af
80699,0,301,0,0,3,e8,f,0
80728,1,402,0,0,8,64,0,0,0,20,e2,9,0
