timestamp,cadence,distance,speed,power,enhanced speed,motor power,ebike battery level,ebike assist mode,raw speed,motor profile scale,motor current scale
1096200154,53,29800,3093,30,3093,90,100,5,0,50,50
1096200155,52,30000,3056,28,3056,118,100,5,0,50,50
1096200156,52,30400,3056,26,3056,98,100,5,0,50,50
1096200157,53,30600,3083,26,3083,90,100,5,0,50,50
1096200158,53,31100,3083,29,3083,127,100,5,0,50,50
1096200159,53,31300,3056,27,3056,126,100,5,0,50,50
1096200160,53,31700,3083,25,3083,101,100,5,0,50,50
1096200161,53,31900,3111,26,3111,109,100,5,0,50,50
1096200162,53,32200,3111,22,3111,62,100,5,0,50,50
1096200163,53,32600,3111,17,3111,78,100,5,0,50,50
1096200164,53,32800,3083,17,3083,88,100,5,0,50,50
1096200165,52,33200,3028,15,3028,62,100,5,0,50,50
1096200166,52,33400,3028,21,3028,73,100,5,0,50,50
1096200167,48,33900,3028,15,3028,85,100,5,0,50,50
1096200168,48,34100,2722,9,2722,45,100,5,0,50,50
1096200169,49,34300,2926,15,2926,60,100,5,0,50,50
1096200170,50,34700,3000,13,3000,59,100,5,0,50,50
1096200171,51,35000,3028,10,3028,58,100,5,0,50,50
1096200172,51,35200,3028,6,3028,36,100,5,0,50,50
1096200173,43,35600,3056,6,3056,42,100,5,0,50,50
1096200174,17,35800,3074,2,3074,3,100,5,0,50,50
1096200175,7,36000,2333,2,2333,0,100,5,0,50,50
1096200176,2,36300,1917,1,1917,0,100,5,0,50,50
1096200177,1,36300,1000,0,1000,0,100,5,0,50,50
1096200178,0,36300,0,0,0,0,100,5,,50,50
